event,week,queries,main_topic
Бой под Хашамом,22.01.2018,4679,W
Бой под Хашамом,29.01.2018,4071,W
Бой под Хашамом,05.02.2018,38558,W
Бой под Хашамом,12.02.2018,303708,W
Бой под Хашамом,19.02.2018,70328,W
Бой под Хашамом,26.02.2018,39514,W
Бой под Хашамом,05.03.2018,24242,W
Бой под Хашамом,12.03.2018,17351,W
Бой под Хашамом,19.03.2018,12978,W
Бой под Хашамом,26.03.2018,9678,W
Бой под Хашамом,02.04.2018,8515,W
Бой под Хашамом,09.04.2018,12298,W
Бой под Хашамом,16.04.2018,16714,W
Бой под Хашамом,23.04.2018,7380,W
Бой под Хашамом,30.04.2018,5658,W
Бой под Хашамом,07.05.2018,4986,W
Бой под Хашамом,14.05.2018,5138,W
Бой под Хашамом,21.05.2018,6668,W
Бой под Хашамом,28.05.2018,9523,W
Бой под Хашамом,04.06.2018,6285,W
Бой под Хашамом,11.06.2018,4006,W
Бой под Хашамом,18.06.2018,3805,W
Бой под Хашамом,25.06.2018,4644,W
Россия - Германия хоккей,01.01.2018,14502,S
Россия - Германия хоккей,08.01.2018,18309,S
Россия - Германия хоккей,15.01.2018,19036,S
Россия - Германия хоккей,22.01.2018,19670,S
Россия - Германия хоккей,29.01.2018,25678,S
Россия - Германия хоккей,05.02.2018,18593,S
Россия - Германия хоккей,12.02.2018,19772,S
Россия - Германия хоккей,19.02.2018,3595262,S
Россия - Германия хоккей,26.02.2018,590847,S
Россия - Германия хоккей,05.03.2018,87782,S
Россия - Германия хоккей,12.03.2018,53786,S
Россия - Германия хоккей,19.03.2018,43849,S
Россия - Германия хоккей,26.03.2018,42780,S
Россия - Германия хоккей,02.04.2018,81742,S
Россия - Германия хоккей,09.04.2018,32960,S
Россия - Германия хоккей,16.04.2018,28290,S
Россия - Германия хоккей,23.04.2018,28722,S
Россия - Германия хоккей,30.04.2018,33278,S
Россия - Германия хоккей,07.05.2018,40326,S
Россия - Германия хоккей,14.05.2018,31924,S
Россия - Германия хоккей,21.05.2018,26400,S
Россия - Германия хоккей,28.05.2018,20726,S
Россия - Германия хоккей,04.06.2018,21017,S
Россия - Германия хоккей,11.06.2018,38965,S
Россия - Германия хоккей,18.06.2018,37234,S
Россия - Германия хоккей,25.06.2018,32936,S
Сериал «Кровавая барыня»,01.01.2018,2249,C
Сериал «Кровавая барыня»,08.01.2018,5341,C
Сериал «Кровавая барыня»,15.01.2018,6794,C
Сериал «Кровавая барыня»,22.01.2018,8197,C
Сериал «Кровавая барыня»,29.01.2018,7663,C
Сериал «Кровавая барыня»,05.02.2018,6333,C
Сериал «Кровавая барыня»,12.02.2018,55853,C
Сериал «Кровавая барыня»,19.02.2018,758228,C
Сериал «Кровавая барыня»,26.02.2018,941810,C
Сериал «Кровавая барыня»,05.03.2018,210464,C
Сериал «Кровавая барыня»,12.03.2018,98807,C
Сериал «Кровавая барыня»,19.03.2018,56433,C
Сериал «Кровавая барыня»,26.03.2018,34946,C
Сериал «Кровавая барыня»,02.04.2018,23591,C
Сериал «Кровавая барыня»,09.04.2018,18948,C
Сериал «Кровавая барыня»,16.04.2018,15108,C
